target_family,site_of_action,target_patterns,wssa_group,pathway,known_inhibitor_classes,binding_logic,active_stages,selectivity_mechanisms,resistance_risks,evidence_class
ACCase,acetyl-CoA carboxylase,accase;acetyl coa carboxylase;acetyl-coa carboxylase;carboxylase,1,fatty_acid_biosynthesis,aryloxyphenoxypropionates/fops;cyclohexanediones/dims;phenylpyrazolines/dens,active_site_or_carboxyltransferase_domain_inhibition,vegetative_expansion;early_vegetative;meristematic_growth,crop_metabolism;target_site_insensitivity;meristem_access,target_site_mutation;enhanced_metabolism,literature_rule
ALS/AHAS,acetolactate synthase / acetohydroxyacid synthase,als;ahas;acetolactate;acetohydroxyacid,2,branched_chain_amino_acid_biosynthesis,sulfonylureas;imidazolinones;triazolopyrimidines;pyrimidinyl-thiobenzoates,active_site/allosteric_channel_binding_slowing_branched_chain_amino_acid_synthesis,seedling_emergence;early_vegetative,differential_metabolism;target_site_sensitivity;growth_stage,target_site_mutation;metabolic_resistance;cross_resistance,literature_rule
EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,epsp;epsps;shikimate;5-enolpyruvylshikimate,9,shikimate_aromatic_amino_acid_biosynthesis,glyphosate-like phosphonate transition-state/substrate mimics,substrate/transition_state_mimicry_at_shikimate_pathway_enzyme,early_vegetative;seedling_emergence,herbicide_tolerant_crop_trait;target_overexpression;differential_translocation,target_site_mutation;target_amplification;reduced_translocation,literature_rule
Glutamine synthetase,glutamine synthetase,glutamine synthetase;gs,10,nitrogen_assimilation,glufosinate/phosphinothricin-like,amino_acid_analog_inhibition_causing_ammonia_accumulation_and_photosynthetic_disruption,early_vegetative;vegetative_expansion,crop_trait;differential_detoxification,target_site_insensitivity;enhanced_metabolism,literature_rule
PPO,protoporphyrinogen oxidase,ppo;protoporphyrinogen;protox,14,tetrapyrrole_chlorophyll_biosynthesis,diphenyl ethers;n-phenylphthalimides;triazolinones;oxadiazoles,active_site_inhibition_leading_to_photodynamic_ros_lipid_peroxidation,vegetative_expansion;photosynthetic_establishment,differential_metabolism;foliar_retention;light_activation,target_site_mutation;enhanced_metabolism,literature_rule
PSII,"photosystem II electron transport, QB binding protein/site",photosystem ii;psii;qb binding;d1 protein;photosynthesis,5/6/7,photosynthetic_electron_transport,triazines;ureas;nitriles;benzothiadiazinones;phenylcarbamates,non_enzyme_target_electron_transport_block_generating_phototoxic_stress,photosynthetic_establishment;vegetative_expansion,crop_metabolism;leaf_uptake;differential_photosynthetic_stress_response,psbA_target_site_mutation;enhanced_metabolism,literature_rule
PSI,photosystem I electron diversion,photosystem i;psi;ferredoxin;electron diverter,22,photosynthetic_electron_transport,bipyridyliums;paraquat/diquat-like redox cyclers,electron_acceptor_redox_cycling_generating_ros,photosynthetic_establishment;vegetative_expansion,spray_contact;cuticle_penetration;antioxidant_capacity,sequestration;reduced_translocation;antioxidant_response,literature_rule
Tubulin/microtubule,microtubule assembly / tubulin polymerization,tubulin;microtubule;cell division;mitosis,3,cell_division,dinitroanilines,microtubule_assembly_inhibition_at_meristematic_growth_zones,germination;seedling_emergence,herbicide_layer_depth;meristem_position;seed_lipid_partitioning,tubulin_target_site_mutation;application_escape,literature_rule
VLCFA,very long chain fatty acid biosynthesis elongase system,vlcfa;very long chain fatty acid;fatty acid elongase;kcs;3-ketoacyl-coa synthase,15/8,very_long_chain_fatty_acid_and_cuticular_wax_biosynthesis,chloroacetamides;thiocarbamates,inhibition_of_fatty_acid_elongation_affecting_seedling_shoot_growth_and_waxes,germination;seedling_emergence,soil_positioning;coleoptile_access;crop_planting_depth,enhanced_metabolism;reduced_uptake,literature_rule
CAZy/cell wall,cell wall carbohydrate metabolism / cellulose-associated enzymes,cellulase;cellulose;glycoside hydrolase;cazy;glucan;cell wall,20/unknown,cell_wall_biosynthesis_and_remodeling,cell_wall_synthesis_inhibitors;glycosidase_inhibitor_like,substrate_cleft_or_tunnel_binding_in_cell_wall_remodeling_enzymes,germination;cell_wall_secondary_growth;seedling_emergence,growth_stage;cell_wall_flux;tissue_access,pathway_bypass;reduced_uptake,literature_rule
CYP450 detoxification,cytochrome P450 herbicide metabolism and specialized metabolism,cytochrome p450;p450;cyp,detoxification_modifier,xenobiotic_and_secondary_metabolism,p450_inhibitors;synergist_candidates,metabolic_resistance_or_safener_context; inhibition can modify detoxification rather than direct primary target death,specialized_metabolism;stress_response,crop_detox_capacity;weed_metabolic_resistance;secondary_metabolite_context,metabolic_resistance;cross_resistance,literature_rule
Oxidative stress enzymes,SOD/CAT/POD/peroxidase antioxidant stress response,peroxidase;catalase;superoxide dismutase;sod;cat;pod;oxidative stress,stress_response_modifier,ros_homeostasis,redox_active_phytochemicals;photosensitizers;quinone_like,stress_amplification_or_antioxidant_response_distortion,stress_response;photosynthetic_establishment,differential_antioxidant_capacity;exposure_dose;growth_stage,antioxidant_upregulation;metabolic_resistance,literature_rule
